Drug Name,Condition,Rating,Content
Tramadol,Pain,10,"""I'm a 64 year old male with degenerative disc disease of the cervical spine. I was prescribed 4x50mg tramadol daily as needed for one month followed by one daily as needed long term.  I never needed more than a couple and now usually take none. I also have gout, now completely pain free due to allopurinol. I'd compare my neck pain as a 5 or 6 compared to my gout pain when it was untreated as 10. 
When I do have a 6/10 level pain tramadol takes it down to a 1 or even 0 with no side effects for me at all.
When my pain is 2 or 3 I never take medicines because I don't want to get habituated.
For my less than severe pain tramadol seems perfect."""
Nitrofurantoin,Bladder Infection,3,"Macrobid (nitrofurantoin)""Haven't had a UTI in probably more than 10 years.  Have recently been diagnosed with 2 in the last 3 months.  Had Macrobid both times.  The first time I ended up with fever and chills, but thought I was unlucky and had picked up a virus.  Symptoms went away by the end of the treatment.  When UTI came back, I was given the same medication.  Within 12 hours of taking the first does, my fever and chills became so bad that I almost went to urgent care.  Advil reduced the fever temporarily, but I won't take it again."""
Venlafaxine,Depression,1,"""Made me more depressed than I've ever been in just a couple of days. horrible drug"""
Escitalopram,Depression,6,"""Hi I just started taking this medication 3,days ago,  I take in morning .  I feel tired and mind is cloudy after.  I'm taking 5 mg  for first week then up to 10 mg,  does anyone know of the best time to take this med is??"""
Oxycodone,Chronic Pain,1,"Oxaydo (oxycodone)""HORRIBLE medication. This is my first review for anything but I felt I had to say something. I was on oxycodone 10/325 for years for chronic pain and never had a problem with side effects. Since being on Oxaydo, from day one, I've felt sick. Stomach pain and burning, nausea, constipation, horrible headaches and bouts of dizziness not to mention I'm in more pain now than ever. I've barely left the house since I started this crap. While I think an abuse-deterrent is a great idea, something is not right with this medication."""
Insulin Lispro,"Diabetes, Type 2",9,"Humalog KwikPen (insulin lispro)""The Humalog KwikPen insulin works well but I have had the issue of my pens jamming, sticking, and just not working. I called the number on the paper that was in the box with the pens. I spoke to the nicest young man and he helped me fix my pen then gave me some advice on how to avoid these issues in the future. He even got me a replacement because I ended up throwing a broke  pen away before I could finish using it (~100 units left)."""
Amitriptyline,Post Traumatic Stress DisorderOff-label,4,"""I was on this drug for 7 months - it was amazing at first. It turned me from someone who was triggered and in severe emotional pain constantly, into a fully functional adult. BUT it reaaaally messed with my cognitive ability, I couldn't remember certain words, I forgot how to spell despite always being great at English...it was really concerning. I've since found out it has anticholinergic properties, which can affect your memory. It also messed with my heart - I had a prolonged qt signal and my resting heart rate was around 120. I've now changed to mirtazapine which I've heard great things about, please please be careful with this medication."""
Misoprostol,AbortionOff-label,6,"""I was about 8 weeks. I’m still going through the process right now. I just want to tell anyway that’s doing this is that you got this, and you’ll get through this. I took my pills around 230 about 2 hours ago. A few minutes after I took them I experienced cramping that for me was very painful. I do believe that it depends on your pain tolerance. I hadn’t had a period in so long due to my IUD so the cramps were strong. I threw up twice no diarrhea yet. I also passed 2 blood clots, one which I believe was the pregnancy but I was too scared to look. I’m still mildly cramping and it is uncomfortable, but it’s almost over. I also did experience the shivers. I did all of this by myself on my bathroom floor with two pillows and a blanket to try to comfort myself as best as I could. Just remember why you’re doing this and that you’re making the best decision that you feel for your life. You’ll get through it."""
Medroxyprogesterone,Birth Control,5,"Depo Provera (medroxyprogesterone)""I had one injection in June 2012 after seeing a GP about wanting to try for a baby soon and he suggested I need to take Rubella immunisation and contraceptive. He recommended Depo as he suggested it has minimum impact on my body before getting pregnant because it's a progesterone only. After the visit I found out on the net that the Depo shot can stop my ovulation for up to 2 years! I was a mess for a couple of month, but after 6 months I felt my cycle were coming back, and after 10 month before I even got a regular period back I fell pregnant. Now we have a very healthy and happy 1.5 year old :) It is effective as a contraceptive and I'm now feel happy for what happened because I had a chronic anemia before but it got better while pregnant"""
Strattera,ADHD,3,"""I have been  taking stratter for 3months now ! I'm more tired when I take it bad I'm assuming gas pains but I don't care for it !"""
Revlimid,Multiple Myeloma,8,"""Prior to MM diagnosis, 8 months extreme pain in R shoulder, moving to L shoulder,  hips,  shins. Very painful, constant moving from area to area. Was diagnosied with arthritis, prescribed Diclofenac Sodium 1% GEL (prescription)  Instead, used small amount to area of pain, relief almost instant. Discovered CKD III disease, referred to Oncologist 7/27/21,  Admitted to hospital same day, bone marrow biopsy, markers indicated confirmation of MM, On  8/2/21, 1st Chemo prior to discharge from hosp. weekly Chemo scheduled & started 200 mg twice daily of Acyclovir, Weekly IV mix of bortezomib & cyclosphamide.  Velcade stomach injection.  Oral 40 mg Dexamethasone on IV day.  Stopped IV on 9/8/21. Continued Weekly Velcade stomach injection +10 mg Revlimid  9/11/21, take one caps for 14 days, stop 7 days, AND 40 mg Dexamethasone on days 1, 8, &15 of cycle. Now: Revlimid mid cycle # 2. Side affects some fatigue. Previous pain moving joint to joint is gone."""
Prozac,Depression,1,"""I used Prozac and nothing happened, my psychiatrist increased my dose but nothing happened so I was taken off."""
Acetaminophen,Pain,1,"Paracetamol (acetaminophen)""It is the ABSOLUTE WORST PAINKILLER to take when you have period pain. It does did not ease my period pain at all. I would not recommend it to anyone . DON'T TOUCH IT. I am very lucky now that I do not take Paracetamol anymore."""
Tretinoin,Acne,10,"Atralin (tretinoin)""This gel is great BUT you have to give it time. I went on it and after four months my acne only cleared a little but then bam! After the next month everything was great and then it's just all good from there. No random pimples popping up, just time for my scars to fade. I love it. And if you're a patient person who wants something gentle and not scary for their face, Atralin is it."""
Venlafaxine,Depression,7,"Effexor (venlafaxine)""I am a female senior and started taking this drug about 8 months ago, so far it works well for the depression at 150mg.   I missed taking the drug for 2 days and as a result I had terrible symptoms when I went to bed, my muscles felt like they were tensed and shaking, could not go to sleep but must have at some point and had terrible dreams, now I feel quite ill, stomach upset, gut upset,  sweating, horrible.  Had to take some pepto bismol tabs to try to settle my stomach.  Took my pill at lunch today, waiting to see if I start to feel better.  Surely there must be a drug that can do the same job without the necessity to take it with food and won't send you body into a tizzy if you miss a dose or 2."""
Buprenorphine,Opioid Use Disorder,8,"Subutex (buprenorphine)""I have been on and off the suboxone and now on the subutex for the last 12 months and I've found it so much better in so many ways. It's been super helpful but also super annoying and holding me back in a lot of ways, like not being able to go away for more than 5 days at a time  having to go into pharmacy weekly etc etc and also trying to over come the pains and hang outs to get off of it all together so I'm changing to the injection at end of this month and hoping it works and helps me become clean off subutex"""
Ziprasidone,Schizoaffective Disorder,10,"Geodon (ziprasidone)""I just started this drug about a week ago and it made all my paranoid thoughts go away, something Risperdal was never able to do for about almost 10 years I've been on it. I'm 22 now and I started Risperdal when I was either 13 or 14. Before I was on olanzapine which made me gain a lot of weight in the hospital when I was 13, it made me gain 20 lbs or more I think, and on Risperdal I've gained a lot of weight every year too. Now I'm 166 and I'm really afraid about being 200 lbs so I'm going to switch completely to Geodon because I heard a lot of amazing reviews about it. I'm not getting any side effects at all and I'm feeling much better. I'm on Paxil, Risperdal, Geodon, Lamictal and I'm going to try to get off of Paxil and Risperdal completely."""
Lorazepam,Anxiety,10,"Ativan (lorazepam)""This is the only treatment I found that made me feel like a normal human being again!"""
Biotin,Dietary Supplementation,3,"Hair, Skin & Nails (biotin)""I have been taking SHEDAVI hair+ skin+ nails. I'm n my first bottle. I've been having more frequent headaches. I'm not the one the take any analgesic but I've been force to take one to relieve my pain. I also hallucinate a bit I see thing running around my house I know can't be there. I was wondering if anyone had experience the same side effects and should I stop taking it?"""
Skyrizi,Psoriasis,1,"""this drug after close to 18months or more made no difference in low back guttate psoriasis dermatitis is which appeared as an allergic reaction after bad food and another drug.
 I've been given many drugs in the same class: enbrel humira skyrizi otezla consentyx they're all equally ineffective and only made my skin hurt. The dermatitis the MD was at war with was not my normal immune system over reacting no, The allergic reaction was to another drug or a bacteria in food. The only thing that puts the low back dermatitis closest to get guttate psoriasis calm down is two weeks of water fasting and avoiding the other mess provoking breakout."""
Etanercept,Juvenile Rheumatoid Arthritis,7,"Enbrel (etanercept)""Make sure and take the shot on your thigh. It hurts less. Also, do not buy into the advice about icing the area or letting the shot sit out for a bit to warm up some. It hurts the same. I have been on Enbrel for five months. The big red spots do go down after a week on the first few shots and after a month you only get a mark for a day or two. My advice is to give yourself your shot on a Sunday and by the weekend you'll have no mark. I am in college and it is not that bad. I am on 50 mg which has not worked well and my doctor is going to increase my dosage. It helps some, but Celebrex is still my go-to for pain. Wash your hands a lot!"""
Tretinoin,Acne,10,"Retin-A (tretinoin)""If you've come here looking for some hope on whether Retin A works or not than your answer is yes! I have been struggling with acne for almost 3 years now I want to think its a phase but who knows. I started retin A Febuary 2015 and it is now May 2015 and my skin looks AMAZING. Trust me I had that ""purging"" phase and it sucked so bad I didn't even want to go out and public because of how bad my face was. If you feel like it isn't working give it TIME, time and patient is key when using this product. I went through two purging phases during week 3 and 5 but after that it was pretty much a smooth ride. STICK WITH IT! Give it 3-4 months!"""
Ubrogepant,Migraine,10,"Ubrelvy (ubrogepant)""I've had intense migraines for about 30 years of my life with no hope for a cure. My migraines came in two-week cycles and lasted for 3 days with excruciating pain. Not gonna lie, there were days when I just wanted to die, but I knew after the third day my migraine would be gone only to start up again... I've lived day by day until now. Ubrelvy has been a godsend and has helped me enjoy life again. As soon as I feel a migraine coming on, I take one pill and just like that, the pain is gone in less than an hour. I am so grateful this medication was approved by the FDA. I have no side effects, and that means a lot since I'm very sensitive to meds. For anyone that is thinking about this medication, I highly recommend it! After all, what do you have to lose but your migraine? LOL"""
Lorazepam,Anxiety,5,"""I am 28 years old and have been taking Ativan for 7 years now for Anxiety and Panic Attacks. I started at 0.5 mg at bedtime, and over the years have needed constant increases. I am now taking 2 mg three times a day. The pill does it's job, but if I am even a hour late taking it (from when I usually do) I start developing severe mood swings, agitation, anxiety, total feeling like I am going crazy. I take the pill, and in about a hour I am feeling normal again. This has caused alot of stress in my relationship. My wife knows exactly when I need my pill, and even my oldest son started saying ""I think daddy needs his pill"" I have tried to taper in the past but the withdrawal side effects were bad. I hope one day to come off this drug."""
Trulicity,"Diabetes, Type 2",9,"""I am on my 3rd week of Trulicity.

I was really apprehensive after the first dose, and I waited for the awful symptoms to kick in.

I was looking after my diet and exercising. After 4 days, I kinda over ate and also had some ice cream. That's when the nausea and diarrhea kicked in. Stomach and nausea settled back to normal in a day or so.

To avoid these symptoms, its really important to avoid diary and eat very small meals.

My numbers have shown a dramatic improvement.

I've lost 11 pounds so far, but that because I have dieted and exercised along-with the Trulicity.

Good luck everybody"""
Plan B,Emergency Contraception,10,"""I am 235 pounds and my boyfriend full on finished inside of me, I took a plan B pill 3 hours later and My period came right on time this month! I have taken this pill 3 times in one year and I’ve never gotten pregnant. So DONT' WORRY GIRLS IT DOES WORK ON 180 POUNDS AND OVER!"""
Oxcarbazepine,Bipolar DisorderOff-label,10,"""I have used it along with Trileptal and it has really helped as a mood stabilizer especially the manic stage.  The bad part of taking it is when my doctor did not increased the Oxtallar XR & took me off the Trileptal all together I had a relapsed and was crying everyday.  I am back on the Trileptal and my doctor is going to increase my Oxtellar XR 3 times a day and taper 
me off of Trileptal slowly because my sodium levels are a bit high.  But other than that no complaints."""
Quetiapine,Borderline Personality DisorderOff-label,2,"""It worked for around 20 minutes to settle me but otherwise was ineffective, it was a sedative too, needed more and more as tolerance came on thick and fast."""
Amphetamine and dextroamphetamine,ADHD,3,"Mydayis (amphetamine / dextroamphetamine)""I asked my doctor about Mydayis because it lasts 16 hours.
   The first week I was so calm, never been so calm in my life, even with antidepressants.
I was able to focus during conversations. I organized my desk (a little). Cleaned my car out
(a little). My second week i was still focusing but I couldn't eat. I was repulsed by anything other than fruits, vegetables, cereal. But then I felt dizzy...sick to my stomach. My eyes seem to move involuntarily   Nystagmus )mand I got the worst eye strain I've ever had. My neck muscles felt extremely tight and I just kept massaging my neck trying not to panic. I tried to tough it out for the next 2 days but could not. It's been day 2 days since I quit taking it and my eyes are still involuntarily moving a little. I had big hopes for this med but this is how it worked it for me and I was only taking 12.5 mg.  I just needed to let everyone know about this possibility because I couldn't find any info about it. It would probably be considered a tic."""
Nitrofurantoin,Bladder Infection,5,"Macrobid (nitrofurantoin)""I was prescribed Macrobid twice daily for 7 days to treat a urinary infection. It definitely relieved my UTI symptoms within 12 hours. But at the same time, I have been coughing constantly, having chest pains, and experiencing severe dizziness and mental disorientation. I'm also getting ""brain zaps,"" like electric shocks in my head. I'm on day five, and I'm going to stop taking it. Fingers crossed that the UTI will not return since I didn't finish the course. But the side effects have been so miserable, I'm giving it up."""
Methylphenidate,ADHD,10,"Daytrana (methylphenidate)""My son has been on since 3 he is 12 & this shortage sucks"""
Norflex,MigraineOff-label,10,"""Only drug that has broken a bad 1 week cycle of migraines.  One IM injection and my head starts to feel better within the hour."""
Belsomra,Insomnia,1,"""Was put on 10mg of Belsomra. Within a week, my mood swings, anxiety, and suicidal thoughts have gotten progressively worse. AND it doesn’t work. Still awake hours after taking it. So I didn’t experience any weird side effects (like sleep paralysis) but it also made me feel worse overall. Treat the reason why you have insomnia first. This has just been my experience."""
Metoprolol,Heart Attack,1,"Metoprolol Tartrate (metoprolol)""I was put on metoprolol in 2010 25mg twice a day. I have just slowly tapered myself off. I wanna tell you I haven't felt this good in  9 years. I wished I had never taken it seriously"""
Isosorbide,Angina Pectoris Prophylaxis,7,"""My doctor prescribed this medicine due to on-going chest pain. I have now been taking it for 1 week and have a headache everyday. Nothing seems to help stop them. I have taken aspirin, Tylenol and even acetaminophen with codeine for relief and so far none have worked. The headache is constant throughout the day and is throbbing and causes dizziness. The good side is the chest pain has gone away. I'm considering stopping this medicine as the headaches are pretty bad."""
Levonorgestrel,Birth Control,8,"Skyla (levonorgestrel)""I had skyla inserted a year ago. Having it inserted was not pleasant. There was some heavy cramping and I was bleeding/spotting for the next two months or so but since then my periods have been light if I have them at all my acne has almost completely cleared up. I have not gained any weight, I have lost some (though not on purpose). Besides my partner sometimes feeling the strings and some bleeding during sex, as well as some painful cramping from time to time it's been good. No kids yet haha."""
Nexplanon,Birth Control,1,"""I've had the nexplanon implant in for almost 4 years. Had my second implant fitted last May but I'm having it removed today. I have always been a happy go lucky person with a positive outlook on life but it has literally sucked the life out of me. I now suffer from severe anxiety (daily) and have had depression. I am tired all the time and lack motivation due to this. I'm a shadow of my former self. After reading other people's reviews I've realised the implant are causing my symptoms. I wouldn't recommend the implant to anyone, it drained me from the person I was. Hopefully will feel much better in a few days after having it removed. AVOID!"""
1-Day,Vaginal Yeast Infection,10,"""This product worked great. I felt almost complete relief after the first day. The medicine did increase vaginal burning and itching after inserting it but nothing unbearable. Within 24 hrs I felt fine with almost no more symptoms. I would definitely recommend."""
Ustekinumab,Psoriasis,10,"Stelara (ustekinumab)""54 years old ..chronic psoriasis for over 49 years. I've had all the treatments known and then some. This medicine is a God send. It's the only treatment that's ever truly worked and I can say I'm 100%. """
Tamiflu,Swine Flu,9,"""Tamiflu helped reduce my 2yr old's symptoms to cold like symptoms. The coughing remained, but decreased. The vomiting stopped as did the fever and diarrhea. I would recommend this medicine."""
Abilify,Depression,1,"""My daughter was prescribed this med. She is now in Barns-Jewish Hospital with major problems! She has all the symptoms of Parkinsons. She has been thoroughly examined here. They say it could take up to six months for her to recover. This was a healthy 32 year old woman, who now can hardly function at all."""
Aripiprazole,Schizophrenia,10,"Abilify Maintena (aripiprazole)""Abilify Maintena has changed my life drastically in such positive ways. The AH, VH and TH are all gone, I am able to function without distraction of delusions, and can hold a steady job and take care of my children. I wouldn't be able to do any of this if it weren't for this injection."""
Bisacodyl,Bowel Preparation,9,"""After reading about bad experiences here, I was really scared to take this part of the bowel prep. I have IBS, a severe anxiety disorder, and have been sick with gastric symptoms on top of that, so I had every reason to think it would be the worst-case scenario for me. I was terrified of the bisacodyl pills and confident about the liquid mixture. Boy was I wrong. It turns out bisacodyl was the easiest part of the prep. I had no pain, cramps, dizziness, nausea or vomiting (and these are things that I'm prone to). It did make me kind of sleepy and weak though, so I recommend camping out and building a blanket nest on the bathroom floor or tub so you don't have to move very far to get to the toilet. After 20 mins I passed stool 4-5 times from this part of the prep, so nothing crazy and it only took effect for an hour or so. The most important thing to avoid complications is: STAY OVERHYDRATED throughout. I'm talking drink like two 16 oz bottles of water before even taking the pills. No pain that way."""
Paxlovid,COVID-19,10,"""My covid never escalated from a slight cough and stuffy nose. My temperature was 99.4°F when I tested positive, but after taking Paxlovid, it never went any higher. My husband, who I caught COVID from, has a high temperature of 102.5°F for over 2 days. So, I believe Paxlovid really helped keep my COVID symptoms mild. I didn't have any bad side effects, only the bitter taste in my mouth, which wasn't all that bothersome. I would 100 percent recommend Paxlovid, and I will take it again if and when I get COVID again."""
Amoxicillin,Bacterial Infection,1,"""This antibiotic has basically destroyed my well-being. After a week of taking it, I was pulled out of sleep with the most terrifying panic attack. I had never had a panic attack ever, and unfortunately, it worsened to the point where I am pulled out of sleep 6 or seven times per night, every single night, and there is an overwhelming anxiety that persists all day, every day. The anxiety/panic does NOT result from a thought or a fear. Instead, it is a full body, nameless, reasonless, terror.....a rush of hot white heat, heat racing, face flushed, and abject terror. I have no history of any depression, anxiety, or mental illness, and prior to this drug, I was healthy. I have been this way since using amoxicillin, and have remained so for four terrifying years. I've been to every doctor and specialist imaginable, trying to find a cause and help. I see that there are dozens and dozens of other patients who have left a similar review."""
Paragard,Birth Control,7,"""I got mine inserted November of 2013 and got it removed August of 2016. In terms of effectiveness, it was perfect. I checked my strings monthly and never had any pregnancy scares. The knowledge that I couldn't get pregnant was wonderful. I loved not having to worry about hormones, and I loved how easy it was on a day to day basis. 

The side effects were rough. I got multiple Pelvic inflammatory diseases. My cervix was constantly sore and tender during sex. The first 8 months were bad in terms of cramping and random yeast and bacterial infections. There was a year where I was fine, and after that  I wound up getting it removed on the third year because I had 2 back to back boughts of PID during the summer. I wish there was a smaller option."""
Polyethylene glycol 3350,Bowel Preparation,10,"MiraLAX (polyethylene glycol 3350)""I have always used miralax, plain with water, I just drink and get it over with. The dulcolax tabs work too so I don't ever have problems, but the magnesium citrate 6 hours before procedure, for me, is the worst. That 10 ounces of bitter salt water taste takes forever to finish - I'm already clean and still have to drink it.  I tried Moviprep  and  pain, stomach cramps were awful.  But with colon cancer years ago, I'm grateful each time colonoscopy is fine and a little nite of miralax is nothing."""
Zoloft,Panic Disorder,10,"""I started taking zoloft about 5 months ago and it has totally changed my life for the better. The first 2 wks were a little rough ( increased anxiety ), but my Dr increased my ativan dosage until the zoloft started working. It took about 4-6 weeks to truly start working, but once it did it was a life saver. I've had barely any anxiety and have been able to decrease my ativan slowly to 0.5mg per day. Would highly recommend this med for panic attacks and / or generalized anxiety disorder."""
Phentermine,Weight Loss (Obesity/Overweight),8,"Adipex-P (phentermine)""I lost five pounds in three weeks. I took the pill five days a week and took a break over the weekend. I definitely ate more when I did not take the pill. Overall, I have been eating healthy prior to taking the pill, but this has definitely helped me to avoid rush eating of sweets and other unhealthy things at times when I would be very hungry or stressed. The pill alone is not enough. Exercising on a regular basis makes a big difference. I'm looking to lose five more pounds by the end of this month."""
Aspirin,Prevention of Thromboembolism in Atrial Fibrillation,9,"""It appears that I got a rash from Eliquis. Am on aspirin and rash appears to be going away."""
Amphetamine and dextroamphetamine,ADHD,3,"""I have been on and off generic Adderall for many years. Currently, I have been prescribed 30 mg twice a day. For the last couple of months, it's been a nightmare. It's been on backorder and then changed the generic name from amphetamine salts combo to amphetamine/ dextroamphetamine combo. This is only because I have had severe headaches, extreme fatigue, and a loss of motivation. My ADHD has been out of the roof. It's frustrating because I feel like I did before taking any generic Adderall. I have even been concerned that maybe I was receiving a placebo rather than the actual medication. That's probably far-fetched, but it's been such a decline for me. There is something missing from this generic form and it is the essential thing that is needed to control my ADHD. I have even gained a lot of weight over the past two months. Hopefully, something will give, I can't imagine it affecting people like this and nothing changing."""
Bisacodyl,Bowel Preparation,1,"Dulcolax (bisacodyl)""It is almost 5am. I took it last night at 8 ish for prep for my colonoscopy. I never ever have diarhea, but all this morning I've been having diarheaa with a lot of blood in it non stop. This is the worst pain I've ever been in and I felt like I was going to pass out. Never again. 

Female/18"""
Sertraline,Anxiety and StressOff-label,8,"""I started on sertraline 2 months ago. I was started on 25mg for 1 week, then 50mg. I have really bad anxiety that when I leave the house, I'm having panic attacks. I can't walk anywhere by myself; I'm that bad. I have felt a little bit better, but now I have gone up to 100mg and hoping this will help me to feel normal again. This website is the reason I'm sticking with it."""
Prazosin,Post Traumatic Stress DisorderOff-label,9,"""Prazosin made my life so much easier when I was on it. I ended up being well rested, didn’t have nightmares, and it helped get my chronically high blood pressure in check. Took 1mg for half a year. Probably going to ask my doctor if I can be put back on it soon. I will say though, if you have to wake up early you’re definitely going to need to give yourself a good amount of time before you attempt standing up."""
Ciprofloxacin,Urinary Tract Infection,1,"""I have a UTI and Bladder Infection. Bad side effects!!!

- stomach ache
- insomnia 
- lots of gas
- headaches 

Hate this..."""
Nexplanon,Birth Control,1,""" I have been on the Nexplanon for 2 years now and let's just sat I wouldn't advise anyone to get this. I first got it because with my period  I always tend to have very bad cramps with vomiting as well. So I got on nexplanon to try to help stop my menstrual pains and vomiting. The pains stopped but not the bleeding, I would be on my cycle for 3 weeks, it would go off for 5-7 days and return. By July this year I starting cramping again which wasn't normal, in September I felt like I was in labor. I was rushed to the hospital and they told me I had a 3.2cm cyst on my right ovary. I truly believe nexplanon caused. So next Friday I am about to have it taken out and try Mirena, hopefully it makes my life a little easier."""
Trazodone,Depression,3,"""I feel all hung over, all day the next day, after I take just a 50 mg of trazadone."""
Prozac,Anxiety and Stress,6,"""I was going through a breakdown and eating healthy and working out but still life was a mess and I couldn't cope so my PCP prescribed this to get me through. I lost a bunch of weight, fine because I was a tad chunky and became numb to so many things but I was able to cope better and I had a bunch of energy. I couldn't sleep but it was okay with my 75 hour work week. It was hard to concentrate on my medical studies because I would get confused a lot but overall I adjusted and I would get on it again. Getting off it was smooth."""
Ambien,Insomnia,6,"""I have been known to fix a meal, send texts and emails while still asleep. I have also had phone conversations and not remembered having them on waking.,"""
Topamax,Migraine Prevention,10,"""I have suffered from severe migraines since I was 15 and the older I got the more severe they got I have been on numerous medications over the years but 5 years ago I found a neurologist that gave me Topamax and my life has changed completely 50g in the morning and 50g at night and I don't get any anymore I had a few at the start but haven't had a headache now for a few years thank God for Topamax"""
Amphetamine and dextroamphetamine,ADHD,10,"Adderall (amphetamine / dextroamphetamine)""I was recently put on Adderall for ADD. I have suffered ever since I can remember with not being able to focus on anything, having a wandering mind, and doing very poorly in school. I began to just think school wasn't for me. I had heard many negatives on Adderall and that is why I never asked my doctor if it would be an option for me. He suggested I give it a try and now I am on 10 mg every day/as needed and I feel better than I have in years. It has helped my depression/anxiety as well. I am happy to learn now and attend school. Wonderful drug for me."""
Dapagliflozin,"Diabetes, Type 2",6,"Farxiga (dapagliflozin)""Use flushable wipes EVERY TIME and it will be 95% Better. Using TP is burning,terrible build up! Happy Trails!"""
Lorazepam,Insomnia,8,"""My doctor started me off on 1mg 3 times/day and I kept trying less (with doctor permission) and am now down to .25 in afternoon and at bedtime with an additional .25 during night if needed - it works fine for me and minimal side effects."""
Levonorgestrel,Emergency Contraception,7,"Take Action (levonorgestrel)""I took this pill around 36 hours after my partner and I had a mishap and the condom broke, so I was really nervous, after taking the pill, I felt pretty normal for a few days and then started getting really bad cramps and had extreme fatigue. My period came a whole TEN DAYS late. I really wish I had bought plan b instead- the worrying and anxiety just isn’t worth it."""
Effexor XR,Depression,10,"""I had suffered for years with anxiety/depression back in the 80's and 90's, back then there was very little medication to help.  In the late 90s my doctor put me on Prozac which helped profoundly until it stopped working after 10 years. Then Effexor XR was introduced, this medication was a godsend and I still take it daily for the last 18 yrs, now I'm able to concentrate when I read and enjoy a happy and fulfilled life!"""
Leuprolide,Uterine Fibroids,8,"Lupron Depot (leuprolide)""I wanted to write a review for other women who are thinking about getting this injection. I read a lot of horror stories online so I was pretty nervous. I got the 3 month injection to try and shrink my large fibroids.

Upshot is, it wasn't that bad but my fibroids didn't shrink; however, it stopped my periods. Preventing the excessive bleeding is good for health prior to hysterectomy. But it's expensive and insurance will make you jump through bureaucratic hoops to get it.

After getting the shot, I felt kind of weird. Then I had one last awful period blowout a few days later. Since then, no periods.

Menopause symptoms included hot flashes, brain fog, mild acne, some moodiness and irritability. However I think a lot of this can be worked around with good nutrition, exercise, breathable clothing, meditation."""
NP Thyroid,Underactive Thyroid,1,"""Started taking NP thyroid about 3 weeks ago. I was taking WP thyroid due to recall no longer avail. I have chronic Lyme and co-infections. I've been feeling a lot better lately. About 2 weeks ago I started feeling very anxious, heart palpitations, extreme fatigue, severely depressed, brain fog, muscle pain/aches and the list is endless. I really though it was one of my co-infections coming back. Paid $580 to get tested for it and I was negative. Couldn't figure out what was causing all of this. Until I googled NP thyroid it smells like cat pee. I will no longer be taking it. I don't know what to change it to, I see my doc on Monday I hope to get it sorted. Please don't touch this stuff."""
Estradiol,Postmenopausal Symptoms,5,"Climara (estradiol)""The patch works great and doesn't come off, if you can ever get the backing to come off to actually put it on.  The patch stretches and it is horrible to get off.  takes about an hour after bending it to remove a portion and then pulling it apart trying not to wreck it.  very frustrating.  I have to use the patch because my insurance will no longer allow me to take the oral meds that worked great and had the same dosage.  Ugh."""
Hydroxyzine,Anxiety,2,"""Hydroxyzine just made me drowsy with my severe anxiety did not help me at all"""
Junel,Birth Control,1,"Mibelas 24 Fe (ethinyl estradiol / norethindrone)""Like many others on here, I was swapped onto  the Mirbelas 24 Fe pill due to insurance reasons. I have nothing that good to say about this pill. I’ve noticed
-increase in anxiety
-weight gain of around 15 pounds
-heavier periods
-longer lasting periods
-irregularly in periods
-more headaches
-sore breasts
-cramps (never had cramps before taking this) 
-cystic acne"""
Ambien,Insomnia,8,"""I was prescribed Ambien, then later Ambien CR, for several years for insomnia.  Wow!  Just like I'd heard about -- take the pill and 20 minutes later I was out.  Didn't really experience ""hangover"" the next day, but then I allowed myself 7 +/- hours of sleep.  Then, it happened:  woke up one morning and my kitchen was somewhat of a mess but I didn't remember being up or making tuna salad on toast.  That happened a few more times before I weaned myself off Ambien.  Haven't had a good night's sleep since.  I've been prescribed a few different sleep meds but haven't had any success.  Tried OTC diphenhydramine (Benadryl, Motrin PM) with Melatonin and began not remembering simple words, appointments, etc."""
Junel,Birth Control,9,"Lo Loestrin Fe (ethinyl estradiol / norethindrone)""I've been on this birth control for over a year and overall I had a really positive experience with it. I didn't experience any mood swings, had little to mild acne around my period, never experienced any pregnancy scares, and had no nausea, headaches or weight gain. The only problem I experienced with it, and ultimately had to switch birth control because of it was the fact that I would throw up for hours whenever I consumed ANY amount of alcohol. To make sure it was the birth control, I stopped taking it and after 4 or so months I was able to drink again without any problems. Though I feel this is very rare situation, overall I believe this birth control was great."""
Yaz,Premenstrual Dysphoric Disorder,9,"""I started this pill because I was having crazy mood swings and just not feeling like myself at least 3 weeks out of the month. My doctor prescribed me this hoping it would also treat my acne along with PMDD. Well, the first month was pretty rough as far as my acne was concerned but it wasn't as bad as I've read in other reviews. I had a few painful cystic pimples within 2 weeks of taking Yaz. I felt really embarrassed because my old pill (loestrin) gave me clear skin and I wasn't used to acne anymore. Well now I'm about to start my 4 inactive pills and about 3 days ago my skin just cleared up like MAGIC. I read that it takes about 3 months to level out your hormones. But I finally feel like myself again! No more crazy crying fits!!"""
Escitalopram,Generalized Anxiety Disorder,1,"Lexapro (escitalopram)""I’m so devastated that this drug didn’t agree with me. I took 5mg for one day and I’ve never been so sick in my life. The nausea was so intense that anti nausea tablets didn’t even work :( I was really hopeful after reading all of the reviews but I will have to give something else a try. Hoping I find an SSRI that agrees with me."""
Pregabalin,Neuropathic Pain,1,"Lyrica (pregabalin)""I had  needles and pins from back, stenosis, disc bulging so was given Lyrica. Only took it 2 1/2 days as it made me feel terrible.  Felt like a zombie, couldn't think straight, slurred words, tripped easily.  My husband said I wasn't acting right, got irritated and angry very easily which I don't usually do.  This was on 50mg and then I was going to 75mg.  I stopped today and won't take it again.  Not worth it to me."""
